weapon,别名,时间,国家,特点,作用
C/UC-12“休伦”兵员运输机,无,1974年选作,中国,暂无介绍,C-12运输机，别称休伦(Huron)，它是十座双发兵员运输机，也是比奇公司的“超级空中国王”的军用版，四大军种都选用了它主要用于各海军航空站间的人员和货物运输
TA-1运输机,无,暂无介绍,美国,暂无介绍,暂无介绍
AT-7/11/C-45和JRB/SNB单翼轻型运输机／教练机,比奇18,1940年买走用,美国,暂无介绍, 1940年，被美国陆军航空部队买走用于人员运输，比奇18被命名为C-45， 之后又被租借给英国、加拿大等国，根据编制和用途的不同，又有诸多变种
L-23“塞米诺尔”双发兵员运输机,无,1949年11月15日飞,美国,暂无介绍, 1949年11月15日，原型机首飞，1952年1月，美国陆军购买了一架50型用于飞行测试
勃德RB-1“大篷车”单翼运输机,无,1942年年初设计使用制造,美国,暂无介绍,暂无介绍
C-69"星座"战略运输机,“预警星”,1943年飞,美国,暂无介绍, 在美国宣布参加第二次世界大战之后，洛克希德飞机公司的装配线被美国政府接管，用于战争
运-20,无,2013年1月26日飞,中国,载重量也有提高，并融合美国C-17的部分特点，该机采用常规布局，最大起飞重量220吨,运-20作为多用途运输机，可在复杂气象条件下，执行各种物资和人员的长距离航空运输任务
运-12支线客机,无,1980年开始设计,中国,采用新型翼型、粘合结构和整体油箱,运-12(中国代号：Y-12，英文：Harbin Y-12)运输机，是中航工业哈尔滨飞机制造公司在运-11飞机基础上研制的轻型双发多用途运输机
运-9中型中程多用途运输机,无,1969年立项研制,中国,暂无介绍,暂无介绍
运-20运输机,无,2013年1月26日飞,中国,载重量也有提高，并融合美国C-17的部分特点，该机采用常规布局，最大起飞重量220吨,运-20作为多用途运输机，可在复杂气象条件下，执行各种物资和人员的长距离航空运输任务
HS121三叉戟短途运输机,无,暂无介绍,英国,暂无介绍,暂无介绍
萨伯(SAAB)340系列双发涡轮螺桨支线运输机,无,暂无介绍,瑞典,暂无介绍,暂无介绍
里-2型运输机,无,暂无介绍,苏联,主要改动包括将飞机上采用英制的零件全部改成公制，并具有安装雪橇的功能,暂无介绍
NASA“超级孔雀鱼”运输机,无,暂无介绍,美国,暂无介绍,暂无介绍
真空管运输机,无,暂无介绍,未知, 尽管真空管运输机从设计上可实现令人难以置信的速度，而乘客仅处于最小重力加速度,暂无介绍
战略运输机,无,暂无介绍,中国,暂无介绍,暂无介绍
Y-8运输机,无,暂无介绍,未知,暂无介绍,暂无介绍
伊尔-112轻型军用运输机,无,暂无介绍,未知,暂无介绍,暂无介绍
伊尔-114轻型运输机,无,1986年完成,俄罗斯,暂无介绍,暂无介绍
伊尔-76中程运输机,无,1971年3月试飞,苏联,最大起飞重量170000公斤,暂无介绍
图-144超音速运输机,无,1968年12月31日试飞,苏联,暂无介绍,暂无介绍
图-330中型军用运输机,无,暂无介绍,俄罗斯,暂无介绍,暂无介绍
Y-10运输机,无,暂无介绍,中国,飞机最大起飞重量110吨，最大巡航速度974公里/小时,暂无介绍
VSAT卫星通信网,无,暂无介绍,未知,暂无介绍,暂无介绍
民用运输机,无,1918年5月进行,未知,这被认为在民用运输机的发展史上具有划时代的意义 ,航空运输中用于从事客货运输的飞机，70年代出现高流量比涡轮风扇发动机被广泛用于民用运输机
雷鸟Ⅱ,无,暂无介绍,美国,飞艇具有垂直起落等特点，该型飞艇起飞重量是大型运输机的三倍以上，对航空运输而言具有革命性的意义,暂无介绍
寇蒂斯C-46运输机,无,1940年3月试飞,美国,载重量为4.63吨,在二战时期，它以“R5C”的型号被美国陆军航空队、美国海军和美国海军陆战队用于军事运输，该机在1942-1945年间的“驼峰”航线空运中，发挥了极其重要作用，为中国人民的抗日战争立下了汗马功劳
Fw-58多用途运输机,无,暂无介绍,未知,暂无介绍,暂无介绍
第四层交换,无,暂无介绍,未知,暂无介绍,暂无介绍
EMB-145“亚马逊”,无,1989年6月透露,巴西,采用中涵道比涡扇发动机，两台发动机采用尾吊方式,暂无介绍
DC-7,无,19531958年投产,未知,暂无介绍,暂无介绍
社会性软件,无,暂无介绍,未知,在功能上能够反映和促进真实的社会关系的发展和交往活动的形成,暂无介绍
C-2运输机[美国诺格公司生产的涡桨舰载运输机],无,1964年11月18日飞,美国,暂无介绍,C-2运输机由E-2预警机的基础上研制而成，主要用于美国海军航空母舰舰上运输（Carrier onboard delivery， COD）任务，提供航空母舰舰队关键的后勤支援，包括人员、货物及邮件的运输 
CN-235-100M,无,暂无介绍,西班牙,暂无介绍,暂无介绍
C-160协同运输机,无,暂无介绍,法国,暂无介绍,C-160是法国航宇公司与德国梅伯布公司联合研制的军用运输机，主要用于运输部队、军用装备、军需品和军用车辆等，可以在简易跑道上起落
C-21A运输机,无,暂无介绍,未知,能够一次运送8名乘客,暂无介绍
C-27J运输机,无,暂无介绍,意大利,暂无介绍,暂无介绍
C-295M运输机,无,暂无介绍,西班牙,暂无介绍,C-295M运输机是由西班牙卡萨（CASA）公司研制的多用途军用中型涡轮螺旋桨运输机
C-2运输机[日本川崎重工生产的涡扇战术运输机],无,2016年6月30日入列,日本,最大起飞重量达到140 吨，号称是亚洲人自行研制和生产的最大起飞重量的飞机,暂无介绍
轰运教-7,无,1998年4月开始研制,中国,暂无介绍,暂无介绍
教练-11,无,暂无介绍,中国,暂无介绍,暂无介绍
雅克-11,无,1945年飞,中国,暂无介绍,暂无介绍
T-1,无,1955年设计制造,日本,暂无介绍,暂无介绍
HJT-16“光线”,无,1964年9月4日飞,印度,暂无介绍,暂无介绍
VE-7双座教练型飞机,无,1917年作为,美国,暂无介绍,暂无介绍
斯巴达人NP型初级教练机,无,暂无介绍,美国,暂无介绍,主要被用于训练海军预备役飞行学校的学生
BT-9/14和NJ-1初级教练机,无,暂无介绍,美国,暂无介绍,暂无介绍
NR-1“补充兵”教练机,“补充兵”,19391945年生产单发,美国,暂无介绍,暂无介绍
PT-19“康奈尔”教练机,无,1939年完成,美国,暂无介绍,暂无介绍
N2T“导师”教练机,无,暂无介绍,美国, 该型飞机的不同寻常之处在于它是采用塑料粘结的胶合板制成的,暂无介绍
SNV-1/2“勇士”基础教练机,“莱弗特”,暂无介绍,美国,暂无介绍,暂无介绍
T-47/UC-35“奖状”,无,1984年2月15日完成,美国,暂无介绍,暂无介绍
仙童AT-21“机枪手”教练机,无,暂无介绍,美国,暂无介绍,暂无介绍
UC-61“百眼巨人”通信和仪器教练机,无,暂无介绍,美国,暂无介绍,暂无介绍
AT-9教练机,无,1941年订购进入,未知,达到了高速度和高着陆性能的目的,是寇蒂斯公司生产的专门用于训练驾驶员的过渡飞机，达到了高速度和高着陆性能的目的，并且结合了当时热门的双发动机（hot g）R-680-9星形发动机和收放式起落架，1941年25型被订购进入生产，命名为AT-9
AT-8/17/UC-78“短尾猫”教练机,无,暂无介绍,加拿大,暂无介绍, 1940年，美国海军也购买了33架“短尾猫”用于实战评估（命名为AT-8），之后订购了45
T-39 “佩刀客”通用和战备教练机,无,1956年发布无须招标,美国,暂无介绍,暂无介绍
T-28“特洛伊人/游牧民”双座单发教练机,无,暂无介绍,美国,暂无介绍,暂无介绍
美国T-33“天狐”双座双发战术教练机,无,暂无介绍,未知, 在“天狐”上采用装在后机身两侧短舱中的加雷特公司推力16.46千牛(1678公斤)的TFE-731-3A涡轮风扇发动机,暂无介绍
T-33教练机,T-Bird,1947年来,美国,暂无介绍,暂无介绍
米格-AT高级教练机,无,20世纪80年代开始设计,俄罗斯,并采用了法国斯奈克玛、透博梅卡、赛克斯坦公司及俄罗斯航空系统研究院和“星”研究和生产公司提供的先进的发动机、航空电子及机载设备的一种先进的多用途教练机,米格-AT是俄罗斯米格-MAPO集团研制，并采用了法国斯奈克玛、透博梅卡、赛克斯坦公司及俄罗斯航空系统研究院和“星”研究和生产公司提供的先进的发动机、航空电子及机载设备的一种先进的多用途教练机
T2V/T-1“海星”教练机,无,暂无介绍,美国,暂无介绍,暂无介绍
初教-6A螺旋桨基础教练机,无,1958年7月27日飞,中国,初教-6机身、机翼和尾翼安定面采用全金属结构,暂无介绍
SOKO G-4“超海鸥” 喷气式武装教练机,无,暂无介绍,英国,最大飞行速度也提高到910千米/小时,暂无介绍
雅克-130 高级教练机,无,暂无介绍,俄罗斯,暂无介绍,暂无介绍
T67 “萤火虫”基础教练机,无,1980年飞制造,英国,该机型具有多种发动机配置,在英国，T67M用于军事训练，但由民间所有和运营
EMB-312 “巨嘴鸟”教练机,无,1978年1月开始设计,巴西,暂无介绍,1978年1月开始设计，同年12月6日巴西航空工业公司与巴西航空部研究发展局签订生产两架原型机和两架用于静力和疲劳试验的机体的合同
T-45“苍鹰”中级/高级喷气教练机,无,1988年4月16日飞,美国,暂无介绍,暂无介绍
JN-4“詹尼”教练机,无,20世纪20年代风靡一时表演,美国,这一点很大程度上来自其采用的寇蒂斯“公牛”-5型发动机的性能极为可靠,暂无介绍
N-9水上教练机,无,暂无介绍,美国,暂无介绍,暂无介绍
“F飞船”双座单发水上教练机,无,暂无介绍,未知,暂无介绍,暂无介绍
PT-17/NS“西点军校生”双翼教练机,无,1933年12月1939年并入研制成生,美国,海军N2S-1采用大陆公司的R-670-1发动机，陆军PT-17采用R-670-5发动机,暂无介绍
A-1“推进者”水上教练机,无,暂无介绍,美国,暂无介绍,暂无介绍
波音C/C-1F水上教练机,无,1917年交付,未知,暂无介绍,暂无介绍
T-44“飞马”侦察教练机,无,1967年3月飞,未知,暂无介绍,暂无介绍
T-1A“苍鹰”运输教练机,无,暂无介绍,美国,暂无介绍,T-1A“苍鹰”教练机是一种六座双发教练机， 20世纪60年代早期，美国陆军正在寻找一种现成的民用飞机作为固定翼双发仪器教练机，用于训练将要在一线现役中驾驶大型飞机的飞行员，由此产生了T-42科奇斯教练机
NB-1双座双翼初级教练机,无,暂无介绍,美国,暂无介绍,暂无介绍
比奇T-42“科奇斯”双发教练机,无,暂无介绍,美国,暂无介绍,比奇T-42“科奇斯”是一种六座双发教练机， 20世纪60年代早期，美国陆军正在寻找一种现成的民用飞机作为固定翼双发仪器教练机，用于训练将要在一线现役中驾驶大型飞机的飞行员，由此产生了T-42科奇斯教练机
AT-7/11/C-45和JRB/SNB单翼轻型运输机／教练机,比奇18,1940年买走用,美国,暂无介绍, 1940年，被美国陆军航空部队买走用于人员运输，比奇18被命名为C-45， 之后又被租借给英国、加拿大等国，根据编制和用途的不同，又有诸多变种
T-34“导师”双座单发初级教练机,无,1977年1984年生产,美国,暂无介绍,暂无介绍
T-34C“涡轮导师”双座单发初级教练机,无,1948年12月飞,美国,暂无介绍,暂无介绍
k-8教练机,无,1987年7月开始设计,中国,暂无介绍,作为新一代初级教练机，K-8教练机于1987年7月开始设计，1989年1月开始制造原型机，共制造5架机（3架试飞，2架用于静力试验），001与003号原型机分别于1990年11月26日和1991年10月首飞
艾尔马林39A型水上教练飞机,无,1917年委托生产制造,美国,艾尔马林39A采用传统双翼飞机的配置和设计,暂无介绍
T-34教练机,无,1940年代1950问世,美国,暂无介绍,暂无介绍
中国猎鹰03号教练机,无,2008年6月试飞,中国,暂无介绍,暂无介绍
PL-1介寿号初级教练机,无,介寿号现为1968年购得制造单发,匈牙利,暂无介绍,暂无介绍
PC-9教练机,无,1982年5月开始设计,瑞士,暂无介绍,暂无介绍
L-15猎鹰高级教练机,无,2009年6月8日研制谱飞,中国,暂无介绍,暂无介绍
L-39,无,1968年11月进行飞,未知,它采用悬臂式下单翼主翼，主梁及副梁采用单片成型、全金属应力蒙皮结构,暂无介绍
HJT-36“星式”中级教练机,无,1964年飞,印度,暂无介绍,暂无介绍
俄罗斯雅克-130教练机,无,暂无介绍,俄罗斯,暂无介绍,暂无介绍
德哈维兰虎蛾机,无,暂无介绍,未知,暂无介绍,后来也用于民用，作为休闲飞机使用
T-4教练机,无,1985年7月29日飞,日本,暂无介绍,暂无介绍
l-15“猎鹰”,猎鹰,2006年3月飞,中国,具有典型的第三代战斗机特征，设计采用了大边条翼气动布局、高度翼身融合体结构，具有很高的训练效费比 ，具有整体气动性能好、机动性能高、推重比大、使用寿命长、结构设计合理、制造技术先进以及任务使用弹性大和发展潜力高的优势,暂无介绍
JL9“山鹰”教练机,山鹰/神鹰 ,暂无介绍,中国,暂无介绍,暂无介绍
Q5J—强击教练机,无,2004年10月展出,未知,暂无介绍,暂无介绍
运教-5,无,1958年开始改装,中国,暂无介绍,运教5中国运教5，是320厂应空军的要求在运5飞机基础上改装的领航教练机，亦称运5丁，主要用于训练领航员
轰教-5,无,1967年开始,中国,暂无介绍,轰教-5（英文：Harbin HJ-5），是中国空军用于培训轰炸机飞行员的轰炸教练机
教-8（K-8）“雄鹰”,无,1987年7月教开始设计,中国,暂无介绍,1989年1月开始制造原型机，共制造5架原型机（3架试飞，2架用于静力试验），001与003号原型机分别于1990年11月26日和91年10月首飞
